Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
120,Finding Dory,Animation;Adventure;Comedy,The friendly but forgetful blue tang fish; Dory; begins a search for her long-lost parents; and everyone learns a few things about the real meaning of family along the way.,Andrew Stanton,Ellen DeGeneres; Albert Brooks;Ed O'Neill; Kaitlin Olson,2016,97,7.4,157026,486.29,77
689,Toy Story 3,Animation;Adventure;Comedy,The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college; and it's up to Woody to convince the other toys that they weren't abandoned and to return home.,Lee Unkrich,Tom Hanks; Tim Allen; Joan Cusack; Ned Beatty,2010,103,8.3,586669,414.98,92
175,Frozen,Animation;Adventure;Comedy,When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter; her sister; Anna; teams up with a mountain man; his playful reindeer; and a snowman to change the weather condition.,Chris Buck,Kristen Bell; Idina Menzel; Jonathan Groff; Josh Gad,2013,102,7.5,451894,400.74,74
16,The Secret Life of Pets,Animation;Adventure;Comedy,The quiet life of a terrier named Max is upended when his owner takes in Duke; a stray whom Max instantly dislikes.,Chris Renaud,Louis C.K.; Eric Stonestreet; Kevin Hart; Lake Bell,2016,87,6.6,120259,368.31,61
798,Despicable Me 2,Animation;Adventure;Comedy,When Gru; the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own; He has to fight back with new gadgetry; cars; and more minion madness.,Pierre Coffin,Steve Carell; Kristen Wiig; Benjamin Bratt; Miranda Cosgrove,2013,98,7.4,304837,368.05,62
